CustomerID,Price,Frequency,Basket_Size,Recency,Amount_Spent_per_Visit,RMF Cluster
12483,1910.98,8,136,17,238.87,2
12488,1244.66,3,175,9,414.89,3
12489,298.93,1,103,336,298.93,1
12491,424.4,1,258,38,424.4,0
12492,227.21,2,95,63,113.6,0
12493,379.74,2,102,165,189.87,1
12494,1084.1,7,99,15,154.87,3
12497,953.1,1,1231,81,953.1,0
12498,349.7,3,52,21,116.57,0
12501,2025.39,1,1775,336,2025.39,1
12502,2995.87,5,158,95,599.17,2
12504,428.05,2,43,18,214.02,0
12506,73.5,1,23,232,73.5,1
12507,1052.81,3,295,134,350.94,3
12508,398.27,2,136,26,199.13,0
12509,158.5,1,54,284,158.5,1
12510,814.57,2,173,142,407.29,0
12512,138.03,2,49,66,69.01,0
12513,558.29,1,459,112,558.29,0
12514,1017.68,1,440,267,1017.68,1
12515,278.7,1,128,353,278.7,1
12516,1186.06,2,434,77,593.03,3
12517,2322.84,4,340,28,580.71,3
12518,1840.89,5,261,0,368.18,3
12519,286.84,1,180,63,286.84,0
12520,2346.26,5,284,79,469.25,2
12521,545.68,1,306,142,545.68,0
12522,156.72,2,96,39,78.36,0
12523,1699.77,11,78,19,154.52,2
12526,1172.66,3,208,0,390.89,3
12527,330.71,3,77,81,110.24,0
12528,1645.48,6,123,9,274.25,2
12530,1500.28,4,226,59,375.07,3
12531,125.22,1,45,14,125.22,0
12532,313.83,1,151,30,313.83,0
12534,981.18,1,645,130,981.18,0
12535,716.35,2,109,91,358.17,0
12538,363.95,1,191,29,363.95,0
12541,841.18,3,225,29,280.39,3
12544,316.7,1,134,36,316.7,0
12545,832.39,2,258,75,416.2,0
12546,1021.5,2,314,46,510.75,0
12547,151.8,2,66,197,75.9,1
12548,67.2,1,48,166,67.2,1
12550,824.83,1,564,79,824.83,0
12551,168.0,1,100,357,168.0,1
12552,317.82,1,85,39,317.82,0
12553,3278.28,10,194,8,327.83,2
12556,603.71,2,179,50,301.85,0
12558,269.96,1,196,7,269.96,0
12559,525.71,2,140,310,262.85,1
12560,1918.01,2,549,5,959.0,3
12561,238.85,1,177,302,238.85,1
12562,3385.74,7,251,8,483.68,2
12564,402.9,1,130,261,402.9,1
12565,145.92,1,80,288,145.92,1
12566,297.65,1,262,86,297.65,0
12571,519.61,2,261,39,259.8,0
12572,912.42,2,223,8,456.21,0
12573,160.54,1,84,227,160.54,1
12574,182.45,1,59,315,182.45,1
12576,1315.83,5,193,35,263.17,3
12577,653.85,3,157,35,217.95,0
12578,2402.51,2,591,21,1201.25,3
12579,386.42,1,282,78,386.42,0
12580,379.7,1,236,246,379.7,1
12581,179.71,1,160,39,179.71,0
12582,351.36,2,148,238,175.68,1
12584,2254.15,9,45,3,250.46,2
12585,1824.1,2,633,234,912.05,1
12586,196.94,1,79,17,196.94,0
12587,104.0,1,50,7,104.0,0
12588,174.9,1,52,39,174.9,0
12589,574.68,2,151,28,287.34,0
12591,368.85,1,225,317,368.85,1
12592,401.6,2,144,92,200.8,0
12593,382.1,3,68,108,127.37,0
12594,3208.22,9,196,37,356.47,2
12596,450.27,2,234,51,225.14,0
12597,3195.22,4,553,19,798.8,2
12598,2807.08,7,278,9,401.01,2
12599,888.58,7,135,29,126.94,3
12600,2311.04,10,75,28,231.1,2
12601,487.06,5,48,189,97.41,3
12602,153.12,1,162,58,153.12,0
12603,613.2,1,56,21,613.2,0
12604,236.18,2,100,79,118.09,0
12607,1579.51,1,1228,60,1579.51,3
12609,964.85,3,213,78,321.62,3
12610,1747.54,4,259,22,436.88,3
12611,1193.32,1,846,52,1193.32,0
12612,668.04,1,260,74,668.04,0
12613,3092.38,4,407,57,773.09,2
12614,315.6,1,76,277,315.6,1
12615,2093.19,4,341,2,523.3,3
12616,641.3,2,140,95,320.65,0
12617,355.53,1,213,29,355.53,0
12618,137.31,1,95,21,137.31,0
12619,2945.56,8,420,16,368.2,2
12620,1303.41,3,393,14,434.47,3
12622,162.1,1,68,232,162.1,1
12623,269.1,1,189,276,269.1,1
12624,569.13,2,175,106,284.56,0
12625,2413.82,2,798,211,1206.91,3
12628,732.46,3,148,4,244.15,3
12630,1030.88,2,271,9,515.44,0
12631,480.5,1,232,57,480.5,0
12633,1929.98,4,287,58,482.49,3
12635,1509.18,2,581,89,754.59,3
12638,511.69,1,573,33,511.69,0
12639,366.1,1,198,238,366.1,1
12640,994.58,3,100,23,331.53,3
12641,145.9,1,71,115,145.9,0
12642,905.26,3,182,25,301.75,3
12643,3041.64,6,298,128,506.94,2
12644,477.91,1,325,129,477.91,0
12645,1631.18,4,269,33,407.79,3
12646,1346.97,2,448,4,673.49,3
12648,300.05,1,159,154,300.05,0
12649,569.51,3,194,107,189.84,0
12650,242.44,1,250,3,242.44,0
12651,114.0,1,78,334,114.0,1
12652,793.98,1,498,331,793.98,1
12653,2209.85,2,459,148,1104.92,3
12654,529.98,5,52,10,106.0,3
12656,3619.17,5,339,17,723.83,2
12657,1427.18,4,258,11,356.79,3
12658,632.05,1,317,18,632.05,0
12659,73.68,1,104,29,73.68,0
12660,227.1,1,126,11,227.1,0
12662,3543.78,11,185,0,322.16,2
12665,45.0,1,36,324,45.0,1
12667,460.13,1,391,58,460.13,0
12668,3177.15,4,399,11,794.29,2
12669,1427.73,2,552,150,713.87,3
12670,2744.05,5,276,10,548.81,2
12672,225.9,1,78,329,225.9,1
12673,574.52,2,174,5,287.26,0
12674,1844.6,4,281,38,461.15,3
12676,1091.39,6,110,24,181.9,3
12679,951.02,4,136,58,237.75,3
12680,790.81,4,109,0,197.7,3
12684,2073.63,6,328,7,345.6,2
12685,2575.08,6,251,28,429.18,2
12686,71.14,1,106,371,71.14,1
12689,1139.61,2,311,25,569.8,3
12690,335.01,1,103,205,335.01,1
12691,927.8,5,77,28,185.56,3
12693,711.91,4,61,127,177.98,3
12694,761.67,2,251,70,380.83,0
12695,582.1,4,55,7,145.52,3
12697,757.59,3,167,28,252.53,3
12701,725.71,2,337,79,362.85,0
12702,201.0,1,52,19,201.0,0
12703,265.55,1,163,71,265.55,0
12704,1740.84,8,123,7,217.6,2
12707,603.42,1,256,291,603.42,1
12708,2442.91,10,129,29,244.29,2
12710,1023.02,3,281,96,341.01,3
12713,794.55,1,505,0,794.55,0
12715,273.86,1,195,106,273.86,0
12716,963.49,2,351,3,481.75,0
12717,830.98,2,251,151,415.49,0
12718,202.25,1,201,71,202.25,0
12719,572.95,2,185,5,286.47,0
12721,2386.13,6,324,31,397.69,2
12722,979.63,4,141,85,244.91,3
12723,707.07,5,86,3,141.41,3
12724,923.41,4,109,5,230.85,3
12725,371.8,1,162,371,371.8,1
12726,2411.1,7,447,28,344.44,2
12727,3440.7,7,295,10,491.53,2
12728,728.33,4,103,71,182.08,3
12729,417.01,1,231,113,417.01,0
12732,218.26,1,110,179,218.26,1
12733,383.95,1,137,234,383.95,1
12734,110.4,1,88,352,110.4,1
12735,689.57,2,181,315,344.78,1
12736,144.0,1,168,332,144.0,1
12738,137.35,1,147,372,137.35,1
12739,975.54,1,485,99,975.54,0
12740,427.6,1,342,63,427.6,0
12743,546.43,2,159,134,273.21,0
12750,275.88,1,137,128,275.88,0
12754,3010.74,3,2160,235,1003.58,2
12756,112.08,1,144,86,112.08,0
12758,2791.59,2,1067,116,1395.79,3
12759,1411.44,3,298,52,470.48,3
12762,1702.52,2,610,7,851.26,3
12763,494.08,2,158,138,247.04,0
12764,1693.88,1,386,316,1693.88,1
12769,1143.6,1,356,238,1143.6,1
12770,1351.45,1,743,210,1351.45,1
12772,752.47,1,551,59,752.47,0
12775,1281.04,5,174,17,256.21,3
12778,693.23,6,136,19,115.54,3
12781,786.74,2,335,63,393.37,0
12782,1938.92,5,214,4,387.78,3
12783,1295.87,4,152,2,323.97,3
12784,518.42,1,298,15,518.42,0
12785,255.95,1,129,364,255.95,1
12787,418.66,3,86,9,139.55,0
12789,76.85,1,3,65,76.85,0
12790,294.92,1,164,192,294.92,1
12791,177.6,1,96,373,177.6,1
12792,344.54,1,215,256,344.54,1
12793,461.48,2,146,334,230.74,1
12794,860.41,2,296,53,430.2,0
12795,318.48,1,64,18,318.48,0
12797,226.03,1,117,365,226.03,1
12802,397.58,1,312,186,397.58,1
12808,455.65,3,62,36,151.88,0
12809,405.31,1,217,177,405.31,1
12811,458.85,2,113,261,229.43,1
12812,229.64,1,164,44,229.64,0
12814,85.92,1,48,101,85.92,0
12815,863.46,2,187,147,431.73,0
12816,452.2,2,62,95,226.1,0
12817,126.04,1,52,281,126.04,1
12818,1182.08,1,920,261,1182.08,1
12820,942.34,4,180,3,235.58,3
12821,92.72,1,70,214,92.72,1
12822,948.88,2,275,70,474.44,0
12823,1759.5,5,46,74,351.9,3
12824,397.12,1,232,59,397.12,0
12826,1474.72,7,151,2,210.67,2
12827,430.15,3,65,5,143.38,0
12828,1018.71,6,82,2,169.78,3
12829,293.0,2,188,336,146.5,1
12831,215.05,1,135,262,215.05,1
12832,383.03,2,97,32,191.51,0
12833,417.38,1,156,145,417.38,0
12834,312.38,1,110,282,312.38,1
12836,2612.86,4,266,59,653.21,2
12837,134.1,1,24,173,134.1,1
12838,683.13,2,179,33,341.57,0
12840,2726.77,4,377,143,681.69,2
12842,1118.99,2,273,70,559.49,0
12843,1702.26,8,97,65,212.78,2
12844,325.96,2,62,29,162.98,0
12845,354.09,4,51,267,88.52,1
12847,871.54,1,909,22,871.54,0
12849,1033.25,2,302,31,516.63,0
12851,135.18,1,109,96,135.18,0
12852,311.55,1,149,294,311.55,1
12853,1957.1,6,133,134,326.18,2
12854,1324.5,3,209,78,441.5,3
12855,38.1,1,30,372,38.1,1
12856,2179.93,6,179,7,363.32,2
12857,1106.4,2,171,210,553.2,1
12863,521.2,1,188,52,521.2,0
12864,147.12,1,216,138,147.12,0
12865,1568.23,2,462,26,784.12,3
12866,499.12,1,167,283,499.12,1
12868,1607.06,6,154,185,267.84,3
12871,380.64,2,100,84,190.32,0
12872,599.97,2,159,326,299.99,1
12873,374.0,1,128,282,374.0,1
12875,343.23,2,1009,143,171.62,0
12876,2053.02,2,965,57,1026.51,3
12878,854.99,2,273,236,427.49,1
12879,573.22,3,123,44,191.07,0
12881,298.0,1,21,275,298.0,1
12882,1463.04,2,123,9,731.52,3
12883,703.47,4,49,24,175.87,3
12884,309.05,1,43,88,309.05,0
12885,1175.22,3,218,63,391.74,3
12886,1378.4,2,385,67,689.2,3
12888,354.12,2,38,214,177.06,1
12890,380.47,1,259,24,380.47,0
12891,331.0,3,316,185,110.33,1
12893,188.14,1,96,30,188.14,0
12895,372.8,2,105,42,186.4,0
12897,216.5,2,55,204,108.25,1
12902,138.68,1,66,264,138.68,1
12904,509.58,2,151,18,254.79,0
12906,2919.81,5,349,11,583.96,2
12908,750.0,2,600,176,375.0,1
12909,2178.67,5,256,39,435.73,2
12910,3075.04,8,211,23,384.38,2
12912,1662.3,5,134,2,332.46,3
12913,2483.63,5,283,4,496.73,2
12915,363.65,2,46,148,181.82,0
12916,3006.15,4,279,138,751.54,2
12917,594.0,1,120,128,594.0,0
12919,1335.19,6,112,8,222.53,3
12920,164.23,1,129,17,164.23,0
12922,405.38,1,370,161,405.38,1
12923,175.72,1,68,64,175.72,0
12924,925.75,4,120,88,231.44,3
12925,694.05,2,270,4,347.02,0
12928,2062.7,5,294,35,412.54,2
12929,117.85,1,37,311,117.85,1
12930,415.8,2,126,78,207.9,0
12933,607.53,3,166,24,202.51,0
12935,2160.7,7,264,2,308.67,2
12936,1063.9,4,139,17,265.98,3
12937,1504.27,4,251,15,376.07,3
12938,114.14,1,140,25,114.14,0
12940,913.54,2,205,54,456.77,0
12942,683.9,3,67,131,227.97,0
12944,604.51,2,144,35,302.26,0
12945,462.95,1,165,288,462.95,1
12947,1603.99,6,194,143,267.33,3
12948,2064.95,7,154,16,294.99,2
12950,1843.0,3,460,2,614.33,3
12951,1064.07,6,83,8,177.34,3
12952,1387.79,4,163,5,346.95,3
12953,329.85,1,84,9,329.85,0
12956,108.07,1,34,306,108.07,1
12962,266.39,2,64,7,133.19,0
12963,1856.63,8,110,8,232.08,2
12965,771.91,1,283,89,771.91,0
12966,160.18,1,75,9,160.18,0
12967,1660.9,2,219,358,830.45,1
12968,135.95,1,73,112,135.95,0
12970,452.24,4,77,7,113.06,3
12974,144.8,1,24,197,144.8,1
12976,738.6,1,561,211,738.6,1
12977,39.24,1,12,156,39.24,1
12981,372.22,2,121,29,186.11,0
12982,390.54,1,288,242,390.54,1
12984,97.5,1,26,18,97.5,0
12985,1239.38,2,766,0,619.69,3
12987,558.7,2,109,73,279.35,0
12988,535.32,1,136,292,535.32,1
12990,409.5,3,66,31,136.5,0
12991,503.76,2,202,23,251.88,0
12993,414.76,4,60,23,103.69,3
12994,974.42,3,153,4,324.81,3
12995,211.32,1,108,85,211.32,0
12997,1226.89,4,166,22,306.72,3
12999,455.88,3,114,196,151.96,1
13000,534.85,3,126,106,178.28,0
13002,120.95,1,73,318,120.95,1
13003,149.05,3,34,105,49.68,0
13005,513.7,2,86,173,256.85,1
13006,81.57,1,55,56,81.57,0
13008,229.47,1,175,323,229.47,1
13011,50.55,1,13,372,50.55,1
13012,1661.84,8,103,9,207.73,2
13014,3466.28,10,90,10,346.63,2
13015,3346.28,5,323,53,669.26,2
13016,789.89,3,175,73,263.3,3
13017,204.0,1,48,7,204.0,0
13021,2616.38,9,150,4,290.71,2
13023,599.9,2,140,64,299.95,0
13026,975.36,5,324,1,195.07,3
13028,661.32,2,399,22,330.66,0
13029,1247.5,3,44,30,415.83,3
13030,799.48,2,197,11,399.74,0
13032,1010.18,2,187,52,505.09,0
13033,190.55,1,83,357,190.55,1
13034,642.77,2,184,54,321.39,0
13035,921.88,2,322,73,460.94,0
13037,881.07,3,143,138,293.69,3
13038,908.46,3,120,80,302.82,3
13040,676.99,2,177,8,338.49,0
13043,516.42,1,254,273,516.42,1
13044,560.47,1,429,291,560.47,1
13045,305.28,1,221,99,305.28,0
13046,629.31,2,132,30,314.65,0
13047,3232.59,9,154,56,359.18,2
13048,1835.91,4,309,14,458.98,3
13049,656.68,2,134,64,328.34,0
13052,348.15,1,222,212,348.15,1
13055,1214.41,3,298,78,404.8,3
13058,271.4,3,17,24,90.47,0
13059,183.4,1,35,249,183.4,1
13060,307.53,1,123,253,307.53,1
13061,248.61,1,107,72,248.61,0
13062,346.98,1,343,191,346.98,1
13064,1119.49,4,129,12,279.87,3
13065,205.86,1,74,373,205.86,1
13066,470.8,2,161,24,235.4,0
13067,115.46,1,32,82,115.46,0
13068,344.0,2,100,10,172.0,0
13070,228.8,1,110,192,228.8,1
13072,177.15,1,69,266,177.15,1
13075,919.61,1,485,129,919.61,0
13077,729.27,4,215,1,182.32,3
13079,220.1,5,12,4,44.02,3
13080,58.08,1,120,179,58.08,1
13082,3613.63,9,480,126,401.51,2
13083,303.75,2,93,4,151.87,0
13085,416.08,2,108,157,208.04,0
13091,345.82,1,466,28,345.82,0
13092,477.83,5,55,70,95.57,3
13095,74.4,1,144,70,74.4,0
13099,207.36,1,288,99,207.36,0
13101,101.19,1,113,234,101.19,1
13103,243.94,1,82,39,243.94,0
13104,1098.48,6,84,3,183.08,3
13106,76.5,1,18,133,76.5,0
13107,1531.62,4,323,44,382.9,3
13108,350.06,1,298,372,350.06,1
13109,786.54,2,260,59,393.27,0
13110,1488.67,7,55,31,212.67,2
13115,2294.78,4,391,11,573.69,3
13116,501.14,1,291,138,501.14,0
13117,984.91,8,118,21,123.11,2
13118,1197.81,5,82,19,239.56,3
13120,30.6,1,12,238,30.6,1
13121,283.73,1,252,269,283.73,1
13122,922.39,2,292,94,461.19,0
13126,2099.64,8,267,4,262.45,2
13127,259.17,1,127,77,259.17,0
13130,64.0,1,32,94,64.0,0
13131,1073.3,3,149,23,357.77,3
13132,77.3,1,20,261,77.3,1
13133,109.8,2,16,273,54.9,1
13134,1793.58,4,264,85,448.39,3
13135,3096.0,1,4300,196,3096.0,3
13136,2607.61,5,265,56,521.52,2
13138,962.39,6,78,22,160.4,3
13140,423.72,3,62,108,141.24,0
13141,2388.75,5,309,84,477.75,2
13142,307.09,1,258,19,307.09,0
13144,110.95,1,21,332,110.95,1
13145,618.52,4,36,39,154.63,3
13146,228.91,1,154,26,228.91,0
13147,712.8,4,36,10,178.2,3
13149,1676.06,4,320,14,419.01,3
13151,1257.87,1,363,295,1257.87,1
13153,486.22,1,418,5,486.22,0
13155,971.76,4,124,33,242.94,3
13157,1741.22,4,359,49,435.3,3
13158,1201.06,4,196,94,300.26,3
13159,1437.85,4,264,8,359.46,3
13160,91.8,1,56,22,91.8,0
13161,112.75,1,29,313,112.75,1
13162,1688.29,4,428,122,422.07,3
13165,1021.48,2,688,46,510.74,0
13166,417.2,1,216,283,417.2,1
13167,779.33,4,193,18,194.83,3
13168,1319.19,4,170,36,329.8,3
13169,712.88,2,136,63,356.44,0
13170,116.01,1,147,26,116.01,0
13171,468.41,3,76,21,156.14,0
13173,353.65,2,138,4,176.82,0
13174,2813.03,3,464,16,937.68,2
13176,492.84,1,453,46,492.84,0
13177,282.45,1,91,64,282.45,0
13182,121.18,1,201,45,121.18,0
13184,1700.29,10,169,14,170.03,2
13185,71.4,1,12,267,71.4,1
13186,1575.89,3,273,39,525.3,3
13187,236.02,1,95,337,236.02,1
13188,114.6,1,25,11,114.6,0
13189,260.68,2,421,18,130.34,0
13192,911.94,2,297,95,455.97,0
13193,117.88,1,50,61,117.88,0
13194,60.7,1,26,135,60.7,0
13196,1797.78,4,306,11,449.44,3
13198,3401.24,6,441,10,566.87,2
13200,870.09,4,129,19,217.52,3
13203,869.46,4,200,9,217.36,3
13207,250.26,2,65,15,125.13,0
13208,1199.42,5,153,59,239.88,3
13210,353.48,1,316,93,353.48,0
13211,1197.42,3,291,10,399.14,3
13212,788.08,3,103,19,262.69,3
13213,1520.58,5,272,56,304.12,3
13216,333.74,1,297,267,333.74,1
13217,533.98,3,87,122,177.99,0
13218,62.64,1,88,127,62.64,0
13220,819.29,4,49,78,204.82,3
13221,844.86,2,121,240,422.43,1
13223,163.2,2,44,200,81.6,1
13224,2152.95,2,757,60,1076.47,3
13226,108.21,1,80,273,108.21,1
13227,257.7,1,99,201,257.7,1
13228,358.0,1,200,81,358.0,0
13229,160.95,1,63,225,160.95,1
13232,1357.0,7,110,12,193.86,2
13233,605.12,2,502,74,302.56,0
13235,1031.07,1,441,212,1031.07,1
13236,744.85,2,208,24,372.43,0
13238,700.73,4,74,17,175.18,3
13239,329.56,1,327,261,329.56,1
13240,648.7,4,74,96,162.17,3
13242,270.4,3,43,112,90.13,0
13243,600.07,1,233,203,600.07,1
13244,121.74,1,38,92,121.74,0
13245,430.5,1,125,50,430.5,0
13246,1987.3,6,267,18,331.22,2
13247,501.12,4,82,17,125.28,3
13248,465.68,2,152,124,232.84,0
13249,711.41,3,182,92,237.14,0
13253,1030.4,2,786,156,515.2,0
13255,399.51,2,88,9,199.75,0
13258,698.58,3,95,11,232.86,0
13259,292.32,1,132,61,292.32,0
13260,557.62,1,142,61,557.62,0
13261,944.1,2,105,268,472.05,1
13262,200.29,1,125,263,200.29,1
13265,2107.66,5,350,53,421.53,2
13268,3192.65,10,358,17,319.26,2
13270,590.0,1,200,366,590.0,1
13271,217.38,1,253,37,217.38,0
13272,276.56,2,48,31,138.28,0
13273,138.98,1,153,113,138.98,0
13276,590.93,2,80,63,295.46,0
13277,258.4,4,44,15,64.6,0
13278,542.73,1,537,40,542.73,0
13279,137.75,1,73,78,137.75,0
13280,814.86,3,174,122,271.62,3
13282,1132.14,3,102,18,377.38,3
13283,93.66,2,45,59,46.83,0
13284,201.19,1,91,330,201.19,1
13285,2709.12,4,512,23,677.28,2
13291,361.11,1,233,155,361.11,0
13292,578.94,2,173,38,289.47,0
13294,873.74,2,226,189,436.87,1
13295,201.2,1,82,359,201.2,1
13296,87.4,1,78,137,87.4,0
13297,2089.85,4,240,7,522.46,3
13298,360.0,1,96,1,360.0,0
13299,142.5,1,30,268,142.5,1
13300,371.89,1,203,169,371.89,1
13301,600.19,4,85,103,150.05,3
13302,63.75,1,5,155,63.75,1
13304,300.42,1,238,351,300.42,1
13305,2000.86,10,123,4,200.09,2
13307,15.0,1,4,120,15.0,0
13308,1385.51,3,281,22,461.84,3
13309,1456.79,5,308,7,291.36,3
13310,1132.03,3,195,28,377.34,3
13311,598.57,2,152,4,299.29,0
13313,1555.32,5,170,22,311.06,3
13314,775.94,3,186,1,258.65,3
13317,2273.68,6,172,66,378.95,2
13318,640.76,3,101,1,213.59,0
13320,1548.7,4,274,78,387.17,3
13321,567.36,2,186,72,283.68,0
13322,199.48,1,117,17,199.48,0
13323,787.85,5,35,3,157.57,3
13325,675.3,1,240,81,675.3,0
13328,1308.48,1,680,316,1308.48,1
13329,789.0,2,231,31,394.5,0
13330,1140.93,3,250,92,380.31,3
13332,350.9,1,179,14,350.9,0
13334,3536.82,3,591,82,1178.94,2
13336,795.12,1,559,77,795.12,0
13338,437.02,1,255,157,437.02,1
13339,860.12,1,326,200,860.12,1
13341,775.85,1,301,260,775.85,1
13343,303.43,1,134,177,303.43,1
13344,2543.72,3,323,67,847.91,3
13345,339.5,1,140,287,339.5,1
13347,291.36,1,204,70,291.36,0
13348,233.76,1,136,64,233.76,0
13349,197.32,1,224,10,197.32,0
13350,879.12,2,142,16,439.56,0
13351,323.94,1,116,66,323.94,0
13352,347.98,1,320,60,347.98,0
13354,743.53,1,604,71,743.53,0
13355,674.7,1,314,122,674.7,0
13356,768.24,1,325,80,768.24,0
13357,609.95,1,322,257,609.95,1
13358,389.03,1,284,268,389.03,1
13359,389.56,1,160,63,389.56,0
13362,3090.74,4,345,9,772.68,2
13363,892.5,2,354,17,446.25,0
13364,134.96,1,71,71,134.96,0
13365,2225.37,2,623,33,1112.69,3
13366,56.16,1,144,50,56.16,0
13368,573.4,2,163,256,286.7,1
13369,258.28,1,148,365,258.28,1
13370,754.87,1,343,371,754.87,1
13372,328.64,1,158,89,328.64,0
13373,3312.25,3,550,60,1104.08,2
13375,778.65,1,442,88,778.65,0
13376,869.76,3,163,99,289.92,3
13379,572.56,3,200,26,190.85,0
13382,222.99,1,131,280,222.99,1
13385,534.57,1,281,329,534.57,1
13388,677.1,2,141,131,338.55,0
13389,797.96,3,143,11,265.99,3
13390,544.08,1,224,74,544.08,0
13391,59.8,1,4,203,59.8,1
13394,2520.02,8,299,1,315.0,2
13395,307.72,1,336,185,307.72,1
13396,1360.99,2,300,29,680.49,3
13397,1544.13,5,86,72,308.83,3
13398,457.34,1,281,192,457.34,1
13402,621.23,2,239,127,310.62,0
13403,75.0,1,44,17,75.0,0
13404,252.49,2,55,1,126.25,0
13405,557.45,2,81,204,278.72,1
13410,1003.06,5,103,24,200.61,3
13411,213.55,1,72,107,213.55,0
13414,1390.5,3,524,133,463.5,3
13416,712.5,2,71,43,356.25,0
13417,640.83,2,81,4,320.41,0
13419,221.06,1,275,63,221.06,0
13420,159.85,2,50,149,79.92,0
13421,1840.58,2,578,40,920.29,3
13422,2626.3,1,1326,64,2626.3,3
13425,1624.21,3,374,108,541.4,3
13427,582.6,3,181,19,194.2,0
13428,218.47,1,156,10,218.47,0
13429,1006.8,4,347,10,251.7,3
13430,679.45,2,375,18,339.72,0
13431,1269.1,2,336,67,634.55,3
13434,534.24,2,150,74,267.12,0
13436,196.89,1,76,1,196.89,0
13437,3408.06,7,183,14,486.87,2
13439,283.71,1,242,255,283.71,1
13441,296.64,1,204,91,296.64,0
13447,1129.14,3,194,23,376.38,3
13448,3539.37,6,276,16,589.89,2
13449,291.88,1,222,23,291.88,0
13450,2043.72,6,330,26,340.62,2
13451,2976.15,5,429,26,595.23,2
13452,590.0,2,1,259,295.0,1
13453,356.98,2,67,165,178.49,1
13455,1058.34,2,177,24,529.17,0
13456,1766.72,6,127,17,294.45,2
13460,183.44,2,143,29,91.72,0
13461,1445.0,3,390,38,481.67,3
13462,151.5,1,62,252,151.5,1
13464,674.68,1,403,58,674.68,0
13466,307.9,1,259,184,307.9,1
13467,1083.71,2,292,10,541.85,0
13470,165.0,2,50,99,82.5,0
13471,2531.58,4,397,1,632.89,2
13473,422.64,2,133,60,211.32,0
13474,229.59,1,132,236,229.59,1
